project_drug_id,drugbank_id,name,smiles,canonical_smiles,inchikey,formula,mol_weight,n_heavy_atoms,rdkit_parseable
DB00126,DB00126,DB00126,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,C6H8O6,176.12,12,True
DB00130,DB00130,DB00130,N[C@@H](CCC(N)=O)C(O)=O,NC(=O)CC[C@H](N)C(=O)O,ZDXPYRJPNDTMRX-VKHMYHEASA-N,C5H10N2O3,146.15,10,True
DB00134,DB00134,DB00134,CSCC[C@H](N)C(O)=O,CSCC[C@H](N)C(=O)O,FFEARJCKVFRZRR-BYPYZUCNSA-N,C5H11NO2S,149.22,9,True
DB00136,DB00136,DB00136,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,GMRQFYUYWCNGIN-NKMMMXOESA-N,C27H44O3,416.65,30,True
DB00140,DB00140,DB00140,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C,AUNGANRZJHBGPY-SCRDCRAPSA-N,C17H20N4O6,376.37,27,True
DB00142,DB00142,DB00142,N[C@@H](CCC(O)=O)C(O)=O,N[C@@H](CCC(=O)O)C(=O)O,WHUUTDBJXJRKMK-VKHMYHEASA-N,C5H9NO4,147.13,10,True
DB00146,DB00146,DB00146,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]12,JWUBBDSIWDLEOM-DTOXIADCSA-N,C27H44O2,400.65,29,True
DB00150,DB00150,DB00150,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,QIVBCDIJIAJPQS-VIFPVBQESA-N,C11H12N2O2,204.23,15,True
DB00152,DB00152,DB00152,CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,JZRWCGZRTZMZEH-UHFFFAOYSA-N,C12H17N4OS+,265.36,18,True
DB00153,DB00153,DB00153,CC(C)[C@@H](C)\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@@H]12,MECHNRXZTMCUDQ-RKHKHRCZSA-N,C28H44O,396.66,29,True
DB00158,DB00158,DB00158,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,Nc1nc(=O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,OVBPIULPVIDEAO-LBPRGKRZSA-N,C19H19N7O6,441.4,32,True
DB00162,DB00162,DB00162,C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1,FPIPGXGPPPQFEQ-OVSJKPMPSA-N,C20H30O,286.46,21,True
DB00163,DB00163,DB00163,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C,Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2,GVJHHUAWPYXKBD-IEOSBIPESA-N,C29H50O2,430.72,31,True
DB00165,DB00165,DB00165,CC1=C(O)C(CO)=C(CO)C=N1,Cc1ncc(CO)c(CO)c1O,LXNHXLLTXMVWPM-UHFFFAOYSA-N,C8H11NO3,169.18,12,True
DB00166,DB00166,DB00166,OC(=O)CCCC[C@@H]1CCSS1,O=C(O)CCCC[C@@H]1CCSS1,AGBQKNBQESQNJD-SSDOTTSWSA-N,C8H14O2S2,206.33,12,True
DB00169,DB00169,DB00169,CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]12,QYSXJUFSXHHAJI-YRZJJWOYSA-N,C27H44O,384.65,28,True
DB00170,DB00170,DB00170,CC1=CC(=O)C2=CC=CC=C2C1=O,CC1=CC(=O)c2ccccc2C1=O,MJVAVZPDRWSRRC-UHFFFAOYSA-N,C11H8O2,172.18,13,True
DB00175,DB00175,DB00175,[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,TUZYXOIXSAXUGO-PZAWKZKUSA-N,C23H36O7,424.53,30,True
DB00176,DB00176,DB00176,COCCCC\C(=N/OCCN)C1=CC=C(C=C1)C(F)(F)F,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,CJOFXWAVKWHTFT-XSFVSMFZSA-N,C15H21F3N2O2,318.34,22,True
DB00177,DB00177,DB00177,CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)[C@@H](C(C)C)C(O)=O,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)[C@H](C(=O)O)C(C)C,ACWBQPMHZXGDFX-QFIPXVFZSA-N,C24H29N5O3,435.53,32,True
DB00178,DB00178,DB00178,[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@@H]21,HDACQVRGBOVJII-JBDAPHQKSA-N,C23H32N2O5,416.52,30,True
DB00179,DB00179,DB00179,C[C@@H](CC1=CC(O)=C(O)C=C1)[C@H](C)CC1=CC(O)=C(O)C=C1,C[C@H](Cc1ccc(O)c(O)c1)[C@@H](C)Cc1ccc(O)c(O)c1,HCZKYJDFEPMADG-TXEJJXNPSA-N,C18H22O4,302.37,22,True
DB00180,DB00180,DB00180,[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,XSFJVAJPIHIPKU-XWCQMRHXSA-N,C24H31FO6,434.5,31,True
DB00181,DB00181,DB00181,NCC(CC(O)=O)C1=CC=C(Cl)C=C1,NCC(CC(=O)O)c1ccc(Cl)cc1,KPYSYYIEGFHWSV-UHFFFAOYSA-N,C10H12ClNO2,213.66,14,True
DB00182,DB00182,DB00182,CC(N)CC1=CC=CC=C1,CC(N)Cc1ccccc1,KWTSXDURSIMDCE-UHFFFAOYSA-N,C9H13N,135.21,10,True
DB00184,DB00184,DB00184,CN1CCC[C@H]1C1=CN=CC=C1,CN1CCC[C@H]1c1cccnc1,SNICXCGAKADSCV-JTQLQIEISA-N,C10H14N2,162.24,12,True
DB00185,DB00185,DB00185,CC1O[C@@]2(CS1)CN1CCC2CC1,CC1O[C@@]2(CS1)CN1CCC2CC1,WUTYZMFRCNBCHQ-LHIURRSHSA-N,C10H17NOS,199.32,13,True
DB00186,DB00186,DB00186,OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,DIWRORZWFLOCLC-UHFFFAOYSA-N,C15H10Cl2N2O2,321.16,21,True
DB00187,DB00187,DB00187,COC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=C1,COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1,AQNDDEOPVVGCPG-UHFFFAOYSA-N,C16H25NO4,295.38,21,True
DB00188,DB00188,DB00188,CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,GXJABQQUPOEUTA-RDJZCZTQSA-N,C19H25BN4O4,384.25,28,True
DB00189,DB00189,DB00189,CCC(O)(\C=C\Cl)C#C,C#CC(O)(/C=C/Cl)CC,ZEHYJZXQEQOSON-AATRIKPKSA-N,C7H9ClO,144.6,9,True
DB00190,DB00190,DB00190,C[C@@](CC1=CC(O)=C(O)C=C1)(NN)C(O)=O,C[C@@](Cc1ccc(O)c(O)c1)(NN)C(=O)O,TZFNLOMSOLWIDK-JTQLQIEISA-N,C10H14N2O4,226.23,16,True
DB00191,DB00191,DB00191,CC(C)(N)CC1=CC=CC=C1,CC(C)(N)Cc1ccccc1,DHHVAGZRUROJKS-UHFFFAOYSA-N,C10H15N,149.24,11,True
DB00193,DB00193,DB00193,COC1=CC=CC(=C1)[C@@]1(O)CCCC[C@@H]1CN(C)C,COc1cccc([C@@]2(O)CCCC[C@@H]2CN(C)C)c1,TVYLLZQTGLZFBW-ZBFHGGJFSA-N,C16H25NO2,263.38,19,True
DB00195,DB00195,DB00195,CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,NWIUTZDMDHAVTP-UHFFFAOYSA-N,C18H29NO3,307.43,22,True
DB00196,DB00196,DB00196,OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,RFHAOTPXVQNOHP-UHFFFAOYSA-N,C13H12F2N6O,306.28,22,True
DB00198,DB00198,DB00198,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,VSZGPKBBMSAYNT-RRFJBIMHSA-N,C16H28N2O4,312.41,22,True
DB00199,DB00199,DB00199,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,ULGZDMOVFRHVEP-RWJQBGPGSA-N,C37H67NO13,733.94,51,True
DB00201,DB00201,DB00201,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,Cn1c(=O)c2c(ncn2C)n(C)c1=O,RYYVLZVUVIJVGH-UHFFFAOYSA-N,C8H10N4O2,194.19,14,True
DB00202,DB00202,DB00202,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,AXOIZCJOOAYSMI-UHFFFAOYSA-N,C14H30N2O4+2,290.4,20,True
DB00203,DB00203,DB00203,CCCC1=NN(C)C2=C1N=C(NC2=O)C1=CC(=CC=C1OCC)S(=O)(=O)N1CCN(C)CC1,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,BNRNXUUZRGQAQC-UHFFFAOYSA-N,C22H30N6O4S,474.59,33,True
DB00204,DB00204,DB00204,CN(CCOC1=CC=C(NS(C)(=O)=O)C=C1)CCC1=CC=C(NS(C)(=O)=O)C=C1,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,IXTMWRCNAAVVAI-UHFFFAOYSA-N,C19H27N3O5S2,441.58,29,True
DB00205,DB00205,DB00205,CCC1=C(C(N)=NC(N)=N1)C1=CC=C(Cl)C=C1,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,WKSAUQYGYAYLPV-UHFFFAOYSA-N,C12H13ClN4,248.72,17,True
DB00206,DB00206,DB00206,[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,QEVHRUUCFGRFIF-MDEJGZGSSA-N,C33H40N2O9,608.69,44,True
DB00207,DB00207,DB00207,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,MQTOSJVFKKJCRP-BICOPXKESA-N,C38H72N2O12,749.0,52,True
DB00208,DB00208,DB00208,ClC1=CC=CC=C1CN1CCC2=C(C1)C=CS2,Clc1ccccc1CN1CCc2sccc2C1,PHWBOXQYWZNQIN-UHFFFAOYSA-N,C14H14ClNS,263.79,17,True
DB00209,DB00209,DB00209,[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1)[N+]21CCCC1,O=C(O[C@H]1C[C@H]2CC[C@@H](C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1,OYYDSUSKLWTMMQ-JKHIJQBDSA-N,C25H30NO3+,392.52,29,True
DB00210,DB00210,DB00210,COC1=C(C=C(C=C1)C1=CC2=C(C=C1)C=C(C=C2)C(O)=O)C12CC3CC(CC(C3)C1)C2,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2,LZCDAPDGXCYOEH-UHFFFAOYSA-N,C28H28O3,412.53,31,True
DB00211,DB00211,DB00211,COC1=CC(C(O)CNC(=O)CN)=C(OC)C=C1,COc1ccc(OC)c(C(O)CNC(=O)CN)c1,PTKSEFOSCHHMPD-UHFFFAOYSA-N,C12H18N2O4,254.29,18,True
DB00212,DB00212,DB00212,CC(C)(C)S(=O)(=O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC1=CN=CN1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)[C@@H](O)C1CC1,CC(C)(C)S(=O)(=O)C[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)[C@@H](O)C1CC1,UXIGZRQVLGFTOU-VQXQMPIVSA-N,C33H50N4O6S,630.85,44,True
DB00213,DB00213,DB00213,COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=C(OC(F)F)C=C3)=NC=C1,COc1ccnc(CS(=O)c2nc3ccc(OC(F)F)cc3[nH]2)c1OC,IQPSEEYGBUAQFF-UHFFFAOYSA-N,C16H15F2N3O4S,383.38,26,True
DB00214,DB00214,DB00214,CC(C)NC(=O)NS(=O)(=O)C1=C(NC2=CC=CC(C)=C2)C=CN=C1,Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1,NGBFQHCMQULJNZ-UHFFFAOYSA-N,C16H20N4O3S,348.43,24,True
DB00215,DB00215,DB00215,CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,WSEQXVZVJXJVFP-UHFFFAOYSA-N,C20H21FN2O,324.4,24,True
DB00216,DB00216,DB00216,CN1CCC[C@@H]1CC1=CNC2=C1C=C(CCS(=O)(=O)C1=CC=CC=C1)C=C2,CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12,PWVXXGRKLHYWKM-LJQANCHMSA-N,C22H26N2O2S,382.53,27,True
DB00217,DB00217,DB00217,CN\C(NCC1=CC=CC=C1)=N/C,C/N=C(\NC)NCc1ccccc1,NIVZHWNOUVJHKV-UHFFFAOYSA-N,C10H15N3,177.25,13,True
DB00218,DB00218,DB00218,[H][C@]12CN(C[C@@]1([H])NCCC2)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1OC)C(O)=O,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,FABPRXSRWADJSP-MEDUHNTESA-N,C21H24FN3O4,401.44,29,True
DB00219,DB00219,DB00219,CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1,CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,GFRUPHOKLBPHTQ-UHFFFAOYSA-N,C21H34NO3+,348.51,25,True
DB00220,DB00220,DB00220,[H][C@@]12CCCC[C@]1([H])CN(C[C@@H](O)[C@H](CSC1=CC=CC=C1)NC(=O)C1=C(C)C(O)=CC=C1)[C@@H](C2)C(=O)NC(C)(C)C,Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,QAGYKUNXZHXKMR-HKWSIXNMSA-N,C32H45N3O4S,567.8,40,True
