scheme,seed,project_drug_id,assignment
drug,0,DB00313,train
drug,0,DB00314,train
drug,0,DB00315,train
drug,0,DB00317,train
drug,0,DB00319,train
drug,0,DB00320,train
drug,0,DB00321,train
drug,0,DB00322,train
drug,0,DB00323,train
drug,0,DB00324,train
drug,0,DB00326,train
drug,0,DB00327,train
drug,0,DB00330,train
drug,0,DB00331,train
drug,0,DB00334,train
drug,0,DB00335,train
drug,0,DB00336,train
drug,0,DB00337,train
drug,0,DB00338,train
drug,0,DB00339,train
drug,0,DB00340,train
drug,0,DB00341,train
drug,0,DB00345,train
drug,0,DB00346,train
drug,0,DB00347,train
drug,0,DB00350,train
drug,0,DB00352,train
drug,0,DB00354,train
drug,0,DB00357,train
drug,0,DB00358,train
drug,0,DB00360,train
drug,0,DB00361,train
drug,0,DB00362,train
drug,0,DB00363,train
drug,0,DB00364,train
drug,0,DB00366,train
drug,0,DB00367,train
drug,0,DB00369,train
drug,0,DB00370,train
drug,0,DB00374,train
drug,0,DB00376,train
drug,0,DB00377,train
drug,0,DB00378,train
drug,0,DB00379,train
drug,0,DB00380,train
drug,0,DB00381,train
drug,0,DB00384,train
drug,0,DB00385,train
drug,0,DB00387,train
drug,0,DB00390,train
drug,0,DB00391,train
drug,0,DB00394,train
drug,0,DB00396,train
drug,0,DB00397,train
drug,0,DB00398,train
drug,0,DB00399,train
drug,0,DB00401,train
drug,0,DB00402,train
drug,0,DB00405,train
drug,0,DB00408,train
drug,0,DB00410,train
drug,0,DB00412,train
drug,0,DB00413,train
drug,0,DB00415,train
drug,0,DB00417,train
drug,0,DB00418,train
drug,0,DB00419,train
drug,0,DB00421,train
drug,0,DB00422,train
drug,0,DB00424,train
drug,0,DB00425,train
drug,0,DB00427,train
drug,0,DB00428,train
drug,0,DB00429,train
drug,0,DB00430,train
drug,0,DB00432,train
drug,0,DB00433,train
drug,0,DB00434,train
drug,0,DB00435,train
drug,0,DB00436,train
drug,0,DB00438,train
drug,0,DB00440,train
drug,0,DB00441,train
drug,0,DB00442,train
drug,0,DB00444,train
drug,0,DB00445,train
drug,0,DB00446,train
drug,0,DB00448,train
drug,0,DB00450,train
drug,0,DB00453,train
drug,0,DB00454,train
drug,0,DB00455,train
drug,0,DB00457,train
drug,0,DB00458,train
drug,0,DB00459,train
drug,0,DB00461,train
drug,0,DB00465,train
drug,0,DB00467,train
drug,0,DB00468,train
drug,0,DB00469,train
drug,0,DB00471,train
drug,0,DB00472,train
drug,0,DB00474,train
drug,0,DB00475,train
drug,0,DB00476,train
drug,0,DB00480,train
drug,0,DB00481,train
drug,0,DB00482,train
drug,0,DB00485,train
drug,0,DB00486,train
drug,0,DB00488,train
drug,0,DB00489,train
drug,0,DB00490,train
drug,0,DB00491,train
drug,0,DB00492,train
drug,0,DB00495,train
drug,0,DB00496,train
drug,0,DB00497,train
drug,0,DB00501,train
drug,0,DB00502,train
drug,0,DB00503,train
drug,0,DB00504,train
drug,0,DB00511,train
drug,0,DB00512,train
drug,0,DB00513,train
drug,0,DB00515,train
drug,0,DB00517,train
drug,0,DB00518,train
drug,0,DB00519,train
drug,0,DB00521,train
drug,0,DB00523,train
drug,0,DB00524,train
drug,0,DB00525,train
drug,0,DB00526,train
drug,0,DB00527,train
drug,0,DB00528,train
drug,0,DB00529,train
drug,0,DB00530,train
drug,0,DB00531,train
drug,0,DB00535,train
drug,0,DB00537,train
drug,0,DB00539,train
drug,0,DB00540,train
drug,0,DB00541,train
drug,0,DB00542,train
drug,0,DB00543,train
drug,0,DB00544,train
drug,0,DB00545,train
drug,0,DB00546,train
drug,0,DB00547,train
drug,0,DB00548,train
drug,0,DB00549,train
drug,0,DB00550,train
drug,0,DB00551,train
drug,0,DB00552,train
drug,0,DB00553,train
drug,0,DB00554,train
drug,0,DB00555,train
drug,0,DB00556,train
drug,0,DB00557,train
drug,0,DB00559,train
drug,0,DB00560,train
drug,0,DB00561,train
drug,0,DB00562,train
drug,0,DB00563,train
drug,0,DB00564,train
drug,0,DB00567,train
drug,0,DB00568,train
drug,0,DB00569,train
drug,0,DB00570,train
drug,0,DB00572,train
drug,0,DB00575,train
drug,0,DB00576,train
drug,0,DB00578,train
drug,0,DB00581,train
drug,0,DB00582,train
drug,0,DB00584,train
drug,0,DB00585,train
drug,0,DB00586,train
drug,0,DB00588,train
drug,0,DB00590,train
drug,0,DB00591,train
drug,0,DB00593,train
drug,0,DB00595,train
drug,0,DB00596,train
drug,0,DB00598,train
drug,0,DB00599,train
drug,0,DB00602,train
drug,0,DB00604,train
drug,0,DB00605,train
drug,0,DB00606,train
drug,0,DB00608,train
drug,0,DB00609,train
drug,0,DB00610,train
drug,0,DB00611,train
drug,0,DB00615,train
drug,0,DB00617,train
drug,0,DB00619,train
drug,0,DB00620,train
drug,0,DB00621,train
drug,0,DB00622,train
drug,0,DB00623,train
drug,0,DB00624,train
drug,0,DB00625,train
drug,0,DB00626,train
drug,0,DB00627,train
drug,0,DB00628,train
drug,0,DB00629,train
drug,0,DB00630,train
drug,0,DB00634,train
drug,0,DB00635,train
drug,0,DB00636,train
drug,0,DB00641,train
drug,0,DB00642,train
drug,0,DB00643,train
drug,0,DB00645,train
drug,0,DB00646,train
drug,0,DB00647,train
drug,0,DB00648,train
drug,0,DB00649,train
drug,0,DB00650,train
drug,0,DB00651,train
drug,0,DB00652,train
drug,0,DB00653,train
drug,0,DB00655,train
drug,0,DB00656,train
drug,0,DB00658,train
drug,0,DB00661,train
drug,0,DB00662,train
drug,0,DB00663,train
drug,0,DB00665,train
drug,0,DB00666,train
drug,0,DB00668,train
drug,0,DB00669,train
drug,0,DB00671,train
drug,0,DB00672,train
drug,0,DB00673,train
drug,0,DB00674,train
drug,0,DB00675,train
drug,0,DB00677,train
drug,0,DB00678,train
drug,0,DB00680,train
drug,0,DB00681,train
drug,0,DB00686,train
drug,0,DB00687,train
drug,0,DB00688,train
drug,0,DB00691,train
drug,0,DB00692,train
drug,0,DB00695,train
drug,0,DB00696,train
drug,0,DB00697,train
drug,0,DB00699,train
drug,0,DB00703,train
drug,0,DB00705,train
drug,0,DB00706,train
drug,0,DB00708,train
drug,0,DB00709,train
drug,0,DB00713,train
drug,0,DB00715,train
drug,0,DB00718,train
drug,0,DB00719,train
drug,0,DB00721,train
drug,0,DB00723,train
drug,0,DB00726,train
drug,0,DB00727,train
drug,0,DB00730,train
drug,0,DB00731,train
drug,0,DB00734,train
drug,0,DB00736,train
drug,0,DB00738,train
drug,0,DB00740,train
drug,0,DB00741,train
drug,0,DB00743,train
drug,0,DB00747,train
drug,0,DB00748,train
drug,0,DB00753,train
drug,0,DB00754,train
drug,0,DB00755,train
drug,0,DB00757,train
drug,0,DB00759,train
drug,0,DB00760,train
drug,0,DB00761,train
drug,0,DB00764,train
drug,0,DB00765,train
drug,0,DB00766,train
drug,0,DB00768,train
drug,0,DB00769,train
drug,0,DB00770,train
drug,0,DB00772,train
drug,0,DB00774,train
drug,0,DB00776,train
drug,0,DB00778,train
drug,0,DB00780,train
drug,0,DB00781,train
drug,0,DB00782,train
drug,0,DB00783,train
drug,0,DB00784,train
drug,0,DB00788,train
drug,0,DB00790,train
drug,0,DB00791,train
drug,0,DB00792,train
drug,0,DB00793,train
drug,0,DB00794,train
drug,0,DB00795,train
drug,0,DB00796,train
drug,0,DB00797,train
drug,0,DB00798,train
drug,0,DB00802,train
drug,0,DB00803,train
drug,0,DB00805,train
drug,0,DB00808,train
drug,0,DB00809,train
drug,0,DB00810,train
drug,0,DB00811,train
drug,0,DB00813,train
drug,0,DB00814,train
drug,0,DB00816,train
drug,0,DB00819,train
drug,0,DB00821,train
drug,0,DB00822,train
drug,0,DB00823,train
drug,0,DB00826,train
drug,0,DB00827,train
drug,0,DB00828,train
drug,0,DB00829,train
drug,0,DB00830,train
drug,0,DB00832,train
drug,0,DB00834,train
drug,0,DB00835,train
drug,0,DB00836,train
drug,0,DB00837,train
drug,0,DB00838,train
drug,0,DB00839,train
drug,0,DB00842,train
drug,0,DB00843,train
drug,0,DB00844,train
drug,0,DB00845,train
drug,0,DB00847,train
drug,0,DB00849,train
drug,0,DB00850,train
drug,0,DB00851,train
drug,0,DB00853,train
drug,0,DB00854,train
drug,0,DB00855,train
drug,0,DB00856,train
drug,0,DB00859,train
drug,0,DB00860,train
drug,0,DB00863,train
drug,0,DB00864,train
drug,0,DB00865,train
drug,0,DB00866,train
drug,0,DB00867,train
drug,0,DB00869,train
drug,0,DB00870,train
drug,0,DB00872,train
drug,0,DB00873,train
drug,0,DB00875,train
drug,0,DB00876,train
drug,0,DB00877,train
drug,0,DB00879,train
drug,0,DB00880,train
drug,0,DB00881,train
drug,0,DB00882,train
drug,0,DB00883,train
drug,0,DB00884,train
drug,0,DB00885,train
drug,0,DB00888,train
drug,0,DB00890,train
drug,0,DB00891,train
drug,0,DB00894,train
drug,0,DB00896,train
drug,0,DB00897,train
drug,0,DB00903,train
drug,0,DB00905,train
drug,0,DB00907,train
drug,0,DB00908,train
drug,0,DB00909,train
drug,0,DB00910,train
drug,0,DB00911,train
drug,0,DB00914,train
drug,0,DB00915,train
drug,0,DB00916,train
drug,0,DB00917,train
drug,0,DB00919,train
drug,0,DB00921,train
drug,0,DB00923,train
drug,0,DB00925,train
drug,0,DB00927,train
drug,0,DB00931,train
drug,0,DB00932,train
drug,0,DB00933,train
drug,0,DB00935,train
drug,0,DB00936,train
drug,0,DB00937,train
drug,0,DB00939,train
drug,0,DB00940,train
drug,0,DB00943,train
drug,0,DB00944,train
drug,0,DB00946,train
drug,0,DB00948,train
drug,0,DB00949,train
drug,0,DB00950,train
drug,0,DB00951,train
drug,0,DB00954,train
drug,0,DB00958,train
drug,0,DB00959,train
drug,0,DB00961,train
drug,0,DB00964,train
drug,0,DB00966,train
drug,0,DB00967,train
drug,0,DB00968,train
drug,0,DB00970,train
drug,0,DB00972,train
drug,0,DB00973,train
drug,0,DB00974,train
drug,0,DB00977,train
drug,0,DB00980,train
drug,0,DB00981,train
drug,0,DB00982,train
drug,0,DB00983,train
drug,0,DB00985,train
drug,0,DB00986,train
drug,0,DB00987,train
drug,0,DB00988,train
drug,0,DB00989,train
drug,0,DB00990,train
drug,0,DB00991,train
drug,0,DB00993,train
drug,0,DB00997,train
drug,0,DB01000,train
drug,0,DB01001,train
drug,0,DB01002,train
drug,0,DB01004,train
drug,0,DB01005,train
drug,0,DB01006,train
drug,0,DB01007,train
drug,0,DB01008,train
drug,0,DB01009,train
drug,0,DB01010,train
drug,0,DB01011,train
drug,0,DB01013,train
drug,0,DB01015,train
drug,0,DB01016,train
drug,0,DB01018,train
drug,0,DB01019,train
drug,0,DB01020,train
drug,0,DB01021,train
drug,0,DB01022,train
drug,0,DB01023,train
drug,0,DB01024,train
drug,0,DB01028,train
drug,0,DB01029,train
drug,0,DB01030,train
drug,0,DB01033,train
drug,0,DB01034,train
drug,0,DB01036,train
drug,0,DB01037,train
drug,0,DB01039,train
drug,0,DB01041,train
drug,0,DB01042,train
drug,0,DB01044,train
drug,0,DB01046,train
drug,0,DB01048,train
drug,0,DB01051,train
drug,0,DB01053,train
drug,0,DB01054,train
drug,0,DB01059,train
drug,0,DB01060,train
drug,0,DB01062,train
drug,0,DB01064,train
drug,0,DB01067,train
drug,0,DB01068,train
drug,0,DB01069,train
drug,0,DB01070,train
drug,0,DB01072,train
drug,0,DB01073,train
drug,0,DB01074,train
drug,0,DB01075,train
drug,0,DB01077,train
drug,0,DB01078,train
drug,0,DB01081,train
drug,0,DB01082,train
drug,0,DB01083,train
drug,0,DB01084,train
drug,0,DB01085,train
drug,0,DB01086,train
drug,0,DB01088,train
drug,0,DB01089,train
drug,0,DB01090,train
drug,0,DB01091,train
drug,0,DB01093,train
drug,0,DB01094,train
drug,0,DB01095,train
drug,0,DB01096,train
drug,0,DB01097,train
drug,0,DB01098,train
drug,0,DB01099,train
drug,0,DB01102,train
drug,0,DB01103,train
drug,0,DB01106,train
drug,0,DB01107,train
drug,0,DB01108,train
drug,0,DB01110,train
drug,0,DB01111,train
drug,0,DB01112,train
drug,0,DB01113,train
drug,0,DB01114,train
drug,0,DB01116,train
drug,0,DB01117,train
drug,0,DB01118,train
drug,0,DB01119,train
drug,0,DB01120,train
drug,0,DB01121,train
drug,0,DB01122,train
drug,0,DB01124,train
drug,0,DB01128,train
drug,0,DB01129,train
drug,0,DB01131,train
drug,0,DB01132,train
drug,0,DB01133,train
drug,0,DB01135,train
drug,0,DB01140,train
drug,0,DB01142,train
drug,0,DB01143,train
drug,0,DB01147,train
drug,0,DB01150,train
drug,0,DB01151,train
drug,0,DB01154,train
drug,0,DB01157,train
drug,0,DB01158,train
drug,0,DB01159,train
drug,0,DB01162,train
drug,0,DB01164,train
drug,0,DB01165,train
drug,0,DB01167,train
drug,0,DB01168,train
drug,0,DB01169,train
drug,0,DB01170,train
drug,0,DB01171,train
drug,0,DB01174,train
drug,0,DB01175,train
drug,0,DB01176,train
drug,0,DB01177,train
drug,0,DB01178,train
drug,0,DB01179,train
drug,0,DB01180,train
drug,0,DB01181,train
drug,0,DB01183,train
drug,0,DB01184,train
drug,0,DB01186,train
drug,0,DB01188,train
drug,0,DB01189,train
drug,0,DB01190,train
drug,0,DB01191,train
drug,0,DB01192,train
drug,0,DB01193,train
drug,0,DB01194,train
drug,0,DB01196,train
drug,0,DB01197,train
drug,0,DB01198,train
drug,0,DB01199,train
drug,0,DB01200,train
drug,0,DB01202,train
drug,0,DB01203,train
drug,0,DB01204,train
drug,0,DB01206,train
drug,0,DB01207,train
drug,0,DB01208,train
drug,0,DB01209,train
drug,0,DB01210,train
drug,0,DB01212,train
drug,0,DB01213,train
drug,0,DB01214,train
drug,0,DB01215,train
drug,0,DB01216,train
drug,0,DB01217,train
drug,0,DB01218,train
drug,0,DB01219,train
drug,0,DB01220,train
drug,0,DB01221,train
drug,0,DB01222,train
drug,0,DB01223,train
drug,0,DB01224,train
drug,0,DB01227,train
drug,0,DB01229,train
drug,0,DB01233,train
drug,0,DB01234,train
drug,0,DB01235,train
drug,0,DB01238,train
drug,0,DB01239,train
drug,0,DB01240,train
drug,0,DB01241,train
drug,0,DB01244,train
drug,0,DB01245,train
drug,0,DB01246,train
drug,0,DB01248,train
drug,0,DB01249,train
drug,0,DB01250,train
drug,0,DB01251,train
drug,0,DB01253,train
drug,0,DB01256,train
drug,0,DB01261,train
drug,0,DB01262,train
drug,0,DB01263,train
drug,0,DB01264,train
drug,0,DB01267,train
drug,0,DB01274,train
drug,0,DB01282,train
drug,0,DB01283,train
drug,0,DB01288,train
drug,0,DB01291,train
drug,0,DB01294,train
drug,0,DB01295,train
drug,0,DB01297,train
drug,0,DB01298,train
drug,0,DB01301,train
drug,0,DB01303,train
drug,0,DB01319,train
drug,0,DB01320,train
drug,0,DB01321,train
drug,0,DB01324,train
drug,0,DB01325,train
drug,0,DB01327,train
drug,0,DB01328,train
drug,0,DB01329,train
drug,0,DB01332,train
drug,0,DB01333,train
drug,0,DB01336,train
drug,0,DB01337,train
drug,0,DB01339,train
drug,0,DB01340,train
drug,0,DB01348,train
drug,0,DB01349,train
drug,0,DB01351,train
drug,0,DB01353,train
drug,0,DB01357,train
drug,0,DB01359,train
drug,0,DB01362,train
drug,0,DB01364,train
drug,0,DB01365,train
drug,0,DB01366,train
drug,0,DB01367,train
drug,0,DB01369,train
drug,0,DB01370,train
drug,0,DB01377,train
drug,0,DB01384,train
drug,0,DB01390,train
drug,0,DB01393,train
drug,0,DB01395,train
drug,0,DB01399,train
drug,0,DB01400,train
drug,0,DB01401,train
drug,0,DB01406,train
drug,0,DB01407,train
drug,0,DB01408,train
drug,0,DB01409,train
drug,0,DB01412,train
drug,0,DB01414,train
drug,0,DB01415,train
drug,0,DB01416,train
drug,0,DB01420,train
drug,0,DB01421,train
drug,0,DB01422,train
drug,0,DB01423,train
drug,0,DB01427,train
drug,0,DB01429,train
drug,0,DB01431,train
drug,0,DB01433,train
drug,0,DB01435,train
drug,0,DB01436,train
drug,0,DB01437,train
drug,0,DB01440,train
drug,0,DB01466,train
drug,0,DB01489,train
drug,0,DB01511,train
drug,0,DB01544,train
drug,0,DB01545,train
drug,0,DB01558,train
drug,0,DB01559,train
drug,0,DB01563,train
drug,0,DB01567,train
drug,0,DB01575,train
drug,0,DB01577,train
drug,0,DB01578,train
drug,0,DB01579,train
drug,0,DB01581,train
drug,0,DB01582,train
drug,0,DB01583,train
drug,0,DB01586,train
drug,0,DB01587,train
drug,0,DB01588,train
drug,0,DB01589,train
drug,0,DB01591,train
drug,0,DB01592,train
drug,0,DB01597,train
drug,0,DB01598,train
drug,0,DB01599,train
drug,0,DB01600,train
drug,0,DB01601,train
drug,0,DB01602,train
drug,0,DB01603,train
drug,0,DB01604,train
drug,0,DB01605,train
drug,0,DB01606,train
drug,0,DB01607,train
drug,0,DB01610,train
drug,0,DB01612,train
drug,0,DB01615,train
drug,0,DB01618,train
drug,0,DB01620,train
drug,0,DB01621,train
drug,0,DB01622,train
drug,0,DB01623,train
drug,0,DB01656,train
drug,0,DB01708,train
drug,0,DB01764,train
drug,0,DB02187,train
drug,0,DB02300,train
drug,0,DB02513,train
drug,0,DB02546,train
drug,0,DB02659,train
drug,0,DB02703,train
drug,0,DB02709,train
drug,0,DB03128,train
drug,0,DB03615,train
drug,0,DB03619,train
drug,0,DB03796,train
drug,0,DB04339,train
drug,0,DB04552,train
drug,0,DB04571,train
drug,0,DB04574,train
drug,0,DB04576,train
drug,0,DB04743,train
drug,0,DB04786,train
drug,0,DB04794,train
drug,0,DB04835,train
drug,0,DB04839,train
drug,0,DB04840,train
drug,0,DB04841,train
drug,0,DB04842,train
drug,0,DB04844,train
drug,0,DB04845,train
drug,0,DB04854,train
drug,0,DB04861,train
drug,0,DB04865,train
drug,0,DB04868,train
drug,0,DB04894,train
drug,0,DB04898,train
drug,0,DB04908,train
drug,0,DB04918,train
drug,0,DB04920,train
drug,0,DB04938,train
drug,0,DB04946,train
drug,0,DB04948,train
drug,0,DB04951,train
drug,0,DB04967,train
drug,0,DB05015,train
drug,0,DB05039,train
drug,0,DB05109,train
drug,0,DB05219,train
drug,0,DB05239,train
drug,0,DB05246,train
drug,0,DB05260,train
drug,0,DB05266,train
drug,0,DB05271,train
drug,0,DB05294,train
drug,0,DB05316,train
drug,0,DB05351,train
drug,0,DB05381,train
drug,0,DB05521,train
drug,0,DB05528,train
drug,0,DB05630,train
drug,0,DB05676,train
drug,0,DB05812,train
drug,0,DB06016,train
drug,0,DB06145,train
drug,0,DB06147,train
drug,0,DB06150,train
drug,0,DB06152,train
drug,0,DB06153,train
drug,0,DB06176,train
drug,0,DB06193,train
drug,0,DB06201,train
drug,0,DB06202,train
drug,0,DB06203,train
drug,0,DB06206,train
drug,0,DB06207,train
drug,0,DB06209,train
drug,0,DB06210,train
drug,0,DB06216,train
drug,0,DB06217,train
drug,0,DB06218,train
drug,0,DB06228,train
drug,0,DB06237,train
drug,0,DB06243,train
drug,0,DB06262,train
drug,0,DB06263,train
drug,0,DB06267,train
drug,0,DB06274,train
drug,0,DB06282,train
drug,0,DB06287,train
drug,0,DB06288,train
drug,0,DB06290,train
drug,0,DB06292,train
drug,0,DB06335,train
drug,0,DB06401,train
drug,0,DB06402,train
drug,0,DB06412,train
drug,0,DB06413,train
drug,0,DB06414,train
drug,0,DB06441,train
drug,0,DB06480,train
drug,0,DB06603,train
drug,0,DB06605,train
drug,0,DB06616,train
drug,0,DB06626,train
drug,0,DB06637,train
drug,0,DB06663,train
drug,0,DB06684,train
drug,0,DB06689,train
drug,0,DB06695,train
drug,0,DB06698,train
drug,0,DB06699,train
drug,0,DB06701,train
drug,0,DB06704,train
drug,0,DB06706,train
drug,0,DB06707,train
drug,0,DB06708,train
drug,0,DB06710,train
drug,0,DB06711,train
drug,0,DB06712,train
drug,0,DB06713,train
drug,0,DB06715,train
drug,0,DB06717,train
drug,0,DB06718,train
drug,0,DB06725,train
drug,0,DB06736,train
drug,0,DB06737,train
drug,0,DB06764,train
drug,0,DB06766,train
drug,0,DB06767,train
drug,0,DB06769,train
drug,0,DB06771,train
drug,0,DB06772,train
drug,0,DB06774,train
drug,0,DB06777,train
drug,0,DB06781,train
drug,0,DB06782,train
drug,0,DB06786,train
drug,0,DB06789,train
drug,0,DB06791,train
drug,0,DB06792,train
drug,0,DB06794,train
drug,0,DB06799,train
drug,0,DB06803,train
drug,0,DB06804,train
drug,0,DB06810,train
drug,0,DB06816,train
drug,0,DB06817,train
drug,0,DB06824,train
drug,0,DB06827,train
drug,0,DB07615,train
drug,0,DB08439,train
drug,0,DB08797,train
drug,0,DB08801,train
drug,0,DB08802,train
drug,0,DB08804,train
drug,0,DB08806,train
drug,0,DB08807,train
drug,0,DB08808,train
drug,0,DB08814,train
drug,0,DB08815,train
drug,0,DB08816,train
drug,0,DB08819,train
drug,0,DB08824,train
drug,0,DB08826,train
drug,0,DB08827,train
drug,0,DB08828,train
drug,0,DB08865,train
drug,0,DB08867,train
drug,0,DB08868,train
drug,0,DB08871,train
drug,0,DB08872,train
drug,0,DB08874,train
drug,0,DB08880,train
drug,0,DB08881,train
drug,0,DB08882,train
drug,0,DB08883,train
drug,0,DB08884,train
drug,0,DB08889,train
drug,0,DB08893,train
drug,0,DB08895,train
drug,0,DB08899,train
drug,0,DB08901,train
drug,0,DB08906,train
drug,0,DB08908,train
drug,0,DB08909,train
drug,0,DB08910,train
drug,0,DB08912,train
drug,0,DB08916,train
drug,0,DB08918,train
drug,0,DB08922,train
drug,0,DB08930,train
drug,0,DB08931,train
drug,0,DB08932,train
drug,0,DB08934,train
drug,0,DB08941,train
drug,0,DB08954,train
drug,0,DB08957,train
drug,0,DB08958,train
drug,0,DB08964,train
drug,0,DB08965,train
drug,0,DB08967,train
drug,0,DB08970,train
drug,0,DB08974,train
drug,0,DB08976,train
drug,0,DB08981,train
drug,0,DB08983,train
drug,0,DB08984,train
drug,0,DB08987,train
drug,0,DB08992,train
drug,0,DB08994,train
drug,0,DB08996,train
drug,0,DB09008,train
drug,0,DB09009,train
drug,0,DB09015,train
drug,0,DB09017,train
drug,0,DB09018,train
drug,0,DB09026,train
drug,0,DB09027,train
drug,0,DB09030,train
drug,0,DB09031,train
drug,0,DB09034,train
drug,0,DB09038,train
drug,0,DB09039,train
drug,0,DB09040,train
drug,0,DB09041,train
drug,0,DB09042,train
drug,0,DB09047,train
drug,0,DB09049,train
drug,0,DB09054,train
drug,0,DB09055,train
drug,0,DB09060,train
drug,0,DB09063,train
drug,0,DB09067,train
drug,0,DB09068,train
drug,0,DB09070,train
drug,0,DB09072,train
drug,0,DB09073,train
drug,0,DB09075,train
drug,0,DB09076,train
drug,0,DB09078,train
drug,0,DB09080,train
drug,0,DB09083,train
drug,0,DB09085,train
drug,0,DB09090,train
drug,0,DB09091,train
drug,0,DB09093,train
drug,0,DB09094,train
drug,0,DB09095,train
drug,0,DB09096,train
drug,0,DB09101,train
drug,0,DB09102,train
drug,0,DB09104,train
drug,0,DB09112,train
drug,0,DB09117,train
drug,0,DB09118,train
drug,0,DB09119,train
drug,0,DB09124,train
drug,0,DB09125,train
drug,0,DB09128,train
drug,0,DB09130,train
drug,0,DB09134,train
drug,0,DB09135,train
drug,0,DB09137,train
drug,0,DB09147,train
drug,0,DB09153,train
drug,0,DB09154,train
drug,0,DB09161,train
drug,0,DB09166,train
drug,0,DB09167,train
drug,0,DB09183,train
drug,0,DB09185,train
drug,0,DB09198,train
drug,0,DB09210,train
drug,0,DB09212,train
drug,0,DB09214,train
drug,0,DB09216,train
drug,0,DB09220,train
drug,0,DB09221,train
drug,0,DB09224,train
drug,0,DB09225,train
drug,0,DB09230,train
drug,0,DB09232,train
drug,0,DB09235,train
drug,0,DB09236,train
drug,0,DB09241,train
drug,0,DB09242,train
drug,0,DB09244,train
drug,0,DB09245,train
drug,0,DB09256,train
drug,0,DB09257,train
drug,0,DB09262,train
drug,0,DB09265,train
drug,0,DB09268,train
drug,0,DB09269,train
drug,0,DB09273,train
drug,0,DB09274,train
drug,0,DB09275,train
drug,0,DB09276,train
drug,0,DB09277,train
drug,0,DB09278,train
drug,0,DB09279,train
drug,0,DB09280,train
drug,0,DB09282,train
drug,0,DB09283,train
drug,0,DB09285,train
drug,0,DB09286,train
drug,0,DB09289,train
drug,0,DB09290,train
drug,0,DB09291,train
drug,0,DB09292,train
drug,0,DB09295,train
drug,0,DB09296,train
drug,0,DB09321,train
drug,0,DB09322,train
drug,0,DB09323,train
drug,0,DB09324,train
drug,0,DB09330,train
drug,0,DB09343,train
drug,0,DB09352,train
drug,0,DB09396,train
drug,0,DB09449,train
drug,0,DB09462,train
drug,0,DB09477,train
drug,0,DB09488,train
drug,0,DB09499,train
drug,0,DB09543,train
drug,0,DB09555,train
drug,0,DB09561,train
drug,0,DB11079,train
drug,0,DB11093,train
drug,0,DB11106,train
drug,0,DB11136,train
drug,0,DB11231,train
drug,0,DB11256,train
drug,0,DB11315,train
drug,0,DB11342,train
drug,0,DB11348,train
drug,0,DB11362,train
drug,0,DB11363,train
drug,0,DB11560,train
drug,0,DB11574,train
drug,0,DB11581,train
drug,0,DB11596,train
drug,0,DB11609,train
drug,0,DB11610,train
drug,0,DB11619,train
drug,0,DB11633,train
