drug_id,split,training_ddi_degree,probe_prediction
DB00290,train,15.0,-138.94016
DB00291,test,0.0,168.89381
DB00292,train,208.0,149.43956
DB00293,train,12.0,68.49992
DB00294,test,0.0,118.47315
DB00295,other,0.0,253.6445
DB00296,train,351.0,464.9317
DB00297,test,0.0,268.93243
DB00298,train,213.0,150.20184
DB00300,train,170.0,146.19614
DB00301,train,23.0,168.52164
DB00302,test,0.0,124.41354
DB00303,test,0.0,67.070076
DB00304,train,80.0,71.83209
DB00305,test,0.0,151.53595
DB00307,train,104.0,106.14957
DB00308,train,110.0,127.19182
DB00309,train,69.0,118.88427
DB00310,test,0.0,186.17331
DB00312,test,0.0,331.12216
DB00313,train,375.0,355.10132
DB00314,train,24.0,-24.8703
DB00315,train,99.0,141.26733
DB00316,other,0.0,217.85242
DB00317,train,127.0,167.30879
DB00318,test,0.0,327.22043
DB00319,train,23.0,146.36166
DB00320,train,515.0,200.49715
DB00321,train,407.0,258.77863
DB00322,train,150.0,216.08891
DB00323,train,293.0,427.43488
DB00324,train,170.0,152.07547
DB00325,test,0.0,-218.00266
DB00326,train,69.0,85.4365
DB00327,train,343.0,358.65195
DB00328,other,0.0,197.26192
DB00330,train,1.0,193.09908
DB00331,train,136.0,173.41833
DB00332,test,0.0,252.22287
DB00333,other,0.0,398.1007
DB00334,train,330.0,289.17932
DB00335,train,319.0,179.45871
DB00336,train,45.0,210.68138
DB00337,train,311.0,254.50153
DB00338,train,275.0,225.47467
DB00339,train,65.0,163.25404
DB00340,train,78.0,-15.459595
DB00341,train,196.0,202.17636
DB00343,other,0.0,251.14706
DB00344,test,0.0,371.03745
DB00345,train,15.0,113.62175
DB00346,train,242.0,138.29839
DB00347,train,99.0,225.50876
DB00349,other,0.0,401.02695
DB00350,train,167.0,206.8153
DB00351,other,0.0,166.07373
DB00352,train,15.0,135.64514
DB00353,test,0.0,147.23972
DB00354,train,7.0,65.91049
DB00355,test,0.0,161.3868
DB00356,other,0.0,214.03976
DB00357,train,9.0,131.86548
DB00358,train,247.0,142.43048
DB00359,other,0.0,172.86244
DB00360,train,5.0,158.4707
DB00361,train,123.0,162.18219
DB00362,train,47.0,-57.23343
DB00363,train,544.0,236.02054
DB00364,train,53.0,150.35559
DB00366,train,205.0,185.31238
DB00367,train,114.0,97.65208
DB00368,test,0.0,164.28783
DB00369,train,2.0,-25.740875
DB00370,train,400.0,212.08536
DB00371,test,0.0,212.74948
DB00373,test,0.0,208.64359
DB00374,train,255.0,304.59387
DB00376,train,78.0,144.55743
DB00377,train,120.0,164.03314
DB00378,train,14.0,151.7156
DB00379,train,178.0,192.30698
DB00380,train,10.0,28.570465
DB00381,train,270.0,219.87933
DB00384,train,225.0,201.48381
DB00385,train,103.0,152.97034
DB00387,train,78.0,151.77768
DB00388,test,0.0,154.73288
DB00389,test,0.0,108.91926
DB00390,train,376.0,196.98132
DB00391,train,272.0,211.21036
DB00392,other,0.0,154.79883
DB00393,test,0.0,204.73846
DB00394,train,142.0,108.462036
DB00395,test,0.0,211.01822
DB00396,train,199.0,216.41025
DB00397,train,84.0,144.44836
DB00398,train,268.0,200.94537
DB00399,train,82.0,-6.8287964
DB00400,other,0.0,179.34908
DB00401,train,271.0,221.4831
DB00402,train,263.0,177.72308
DB00404,other,0.0,255.76952
DB00405,train,196.0,172.40112
DB00408,train,214.0,225.98074
DB00409,other,0.0,333.39172
DB00410,train,1.0,61.848236
DB00411,test,0.0,118.84253
DB00412,train,249.0,208.03526
DB00413,train,285.0,257.16776
DB00415,train,23.0,154.8279
DB00417,train,20.0,42.42035
DB00418,train,434.0,294.46185
DB00419,train,81.0,68.45528
DB00420,test,0.0,207.13286
DB00421,train,252.0,208.88315
DB00422,train,206.0,131.08282
DB00423,test,0.0,125.507774
DB00424,train,84.0,60.454987
DB00425,train,306.0,350.29846
DB00426,other,0.0,156.8568
DB00427,train,197.0,108.57518
DB00428,train,115.0,151.61906
DB00429,train,54.0,57.267883
DB00430,train,1.0,-12.7453
DB00432,train,7.0,80.70457
DB00433,train,309.0,212.45609
DB00434,train,205.0,196.36365
DB00435,train,169.0,157.2228
DB00436,train,374.0,206.94351
DB00437,test,0.0,218.70354
DB00438,train,4.0,92.68565
DB00440,train,288.0,268.35077
DB00441,train,19.0,133.99947
DB00442,train,3.0,85.4365
DB00443,test,0.0,198.08514
DB00444,train,106.0,164.86484
DB00445,train,109.0,168.44522
DB00446,train,152.0,267.06488
DB00448,train,141.0,155.79988
DB00449,other,0.0,118.96645
DB00450,train,287.0,169.75177
DB00451,test,0.0,94.84779
DB00452,test,0.0,137.68448
DB00453,train,0.0,16.124084
DB00454,train,375.0,401.76477
DB00455,train,307.0,269.2758
DB00456,test,0.0,133.50635
DB00457,train,226.0,180.03828
DB00458,train,506.0,246.32162
DB00459,train,15.0,115.1111
DB00460,test,0.0,-15.199402
DB00461,train,229.0,162.80142
DB00462,test,0.0,111.02836
DB00465,train,201.0,178.05026
DB00467,train,142.0,135.79707
DB00468,train,481.0,365.24612
DB00469,train,244.0,225.75644
DB00470,test,0.0,183.3889
DB00471,train,80.0,203.59306
DB00472,train,489.0,293.3545
DB00474,train,329.0,120.05792
DB00475,train,256.0,218.82869
DB00476,train,461.0,383.57623
DB00477,other,0.0,261.36472
DB00479,other,0.0,129.76625
DB00480,train,25.0,129.15067
DB00481,train,66.0,155.56465
DB00482,train,438.0,224.13916
DB00483,test,0.0,150.24837
DB00484,other,0.0,214.26926
DB00485,train,22.0,105.034386
DB00486,train,334.0,308.03424
DB00487,other,0.0,-146.69977
DB00488,train,34.0,178.4073
DB00489,train,338.0,173.87419
DB00490,train,318.0,264.41205
DB00491,train,115.0,138.75653
DB00492,train,277.0,229.9715
DB00493,test,0.0,167.07922
DB00494,other,0.0,211.66238
DB00495,train,133.0,181.01889
DB00496,train,267.0,159.13065
DB00497,train,326.0,300.15796
DB00498,other,0.0,114.18387
DB00499,other,0.0,168.74551
DB00500,test,0.0,150.02417
DB00501,train,291.0,253.76115
DB00502,train,466.0,233.71196
DB00503,train,304.0,230.89546
DB00504,train,1.0,96.50877
DB00508,other,0.0,256.45398
DB00511,train,238.0,189.72687
DB00512,train,74.0,151.66583
DB00513,train,1.0,209.63947
DB00514,test,0.0,280.42316
DB00515,train,42.0,115.30101
DB00517,train,78.0,70.7359
DB00518,train,84.0,137.44669
DB00519,train,271.0,271.65375
DB00520,test,0.0,175.04936
DB00521,train,336.0,200.92514
DB00523,train,25.0,63.222336
DB00524,train,363.0,177.8504
DB00525,train,47.0,121.1868
DB00526,train,41.0,97.033905
DB00527,train,189.0,148.71832
DB00528,train,258.0,203.99791
DB00529,train,66.0,149.15237
DB00530,train,131.0,163.61298
DB00531,train,317.0,201.48848
DB00535,train,3.0,94.08626
DB00537,train,174.0,208.86003
DB00539,train,171.0,87.77064
DB00540,train,392.0,254.319
DB00541,train,206.0,131.69067
DB00542,train,271.0,193.35977
DB00543,train,357.0,213.22974
DB00544,train,183.0,221.85995
DB00545,train,90.0,129.10172
DB00546,train,70.0,214.67288
DB00547,train,139.0,149.76422
DB00548,train,7.0,115.066765
DB00549,train,206.0,212.19849
DB00550,train,8.0,143.52728
DB00551,train,0.0,85.82181
DB00552,train,15.0,22.305923
DB00553,train,55.0,170.38878
DB00554,train,251.0,185.1148
DB00555,train,266.0,234.19814
DB00556,train,108.0,85.4365
DB00557,train,230.0,187.38556
DB00559,train,459.0,413.46997
DB00560,train,1.0,-49.372772
DB00561,train,9.0,152.95503
DB00562,train,1.0,252.63803
DB00563,train,113.0,136.50357
DB00564,train,604.0,337.51392
DB00565,other,0.0,-49.170105
DB00567,train,89.0,155.53705
DB00568,train,156.0,143.2052
DB00569,train,99.0,229.0509
DB00570,train,127.0,163.69727
DB00571,test,0.0,258.7845
DB00572,train,86.0,182.41318
DB00573,test,0.0,139.52473
DB00575,train,403.0,251.50381
DB00576,train,1.0,187.89351
DB00577,other,0.0,156.33118
DB00578,train,20.0,-78.73135
DB00581,train,1.0,85.22655
DB00582,train,497.0,337.4026
DB00583,test,0.0,193.27643
DB00584,train,323.0,213.07544
DB00585,train,29.0,146.37524
DB00586,train,308.0,197.25836
DB00588,train,360.0,316.76443
DB00589,other,0.0,223.1636
DB00590,train,270.0,217.37396
DB00591,train,139.0,173.8782
DB00592,other,0.0,286.33304
DB00593,train,243.0,172.95859
DB00594,test,0.0,191.53159
DB00595,train,1.0,152.27393
DB00596,train,139.0,157.94391
DB00598,train,360.0,189.9965
DB00599,train,350.0,229.88411
DB00601,test,0.0,135.26181
DB00602,train,71.0,76.40457
DB00603,other,0.0,253.09093
DB00604,train,225.0,173.9479
DB00605,train,208.0,144.41597
DB00606,train,121.0,201.98886
DB00607,test,0.0,106.81712
DB00608,train,482.0,213.71622
DB00609,train,2.0,148.30962
DB00610,train,62.0,33.693756
DB00611,train,266.0,179.87323
DB00612,other,0.0,96.36308
DB00613,test,0.0,290.50806
DB00614,test,0.0,136.9171
DB00615,train,456.0,277.09702
DB00617,train,91.0,178.58377
DB00618,other,0.0,119.87091
DB00619,train,407.0,216.5507
DB00620,train,194.0,188.66663
DB00621,train,62.0,105.30267
DB00622,train,487.0,324.08887
DB00623,train,288.0,219.5588
DB00624,train,176.0,183.63193
DB00625,train,408.0,384.73877
DB00626,train,4.0,109.66591
DB00627,train,26.0,162.97115
DB00628,train,238.0,321.56793
DB00629,train,144.0,199.46759
DB00630,train,81.0,123.599915
DB00631,test,0.0,-150.65182
DB00633,other,0.0,167.76295
DB00634,train,3.0,28.710167
DB00635,train,224.0,186.24432
DB00636,train,70.0,149.21043
DB00637,other,0.0,234.57047
DB00639,other,0.0,158.76051
DB00640,other,0.0,119.713905
DB00641,train,287.0,228.09094
DB00642,train,14.0,50.73278
DB00643,train,75.0,118.66201
DB00645,train,189.0,90.38519
DB00646,train,48.0,37.321564
DB00647,train,322.0,374.8377
DB00648,train,379.0,171.23886
DB00649,train,7.0,152.99515
DB00650,train,7.0,152.80237
DB00651,train,105.0,193.62189
DB00652,train,267.0,333.526
DB00653,train,301.0,309.3775
DB00654,test,0.0,185.0155
DB00655,train,268.0,169.97552
DB00656,train,306.0,223.74918
DB00657,test,0.0,157.87444
DB00658,train,11.0,85.4365
DB00660,test,0.0,-28.554596
DB00661,train,540.0,280.14697
DB00662,train,0.0,-4.5956726
DB00663,train,139.0,77.003235
DB00664,test,0.0,-113.09506
DB00665,train,39.0,107.963524
DB00666,train,1.0,-14.168762
DB00668,train,126.0,201.13673
DB00669,train,99.0,143.87613
DB00670,test,0.0,19.026184
DB00671,train,3.0,141.52829
DB00672,train,215.0,218.93175
DB00673,train,444.0,303.58694
DB00674,train,212.0,173.46545
DB00675,train,237.0,186.76944
DB00677,train,132.0,51.457886
DB00678,train,417.0,245.06798
DB00679,other,0.0,226.16528
DB00680,train,70.0,-4.907593
DB00681,train,241.0,200.35445
DB00682,other,0.0,181.42987
DB00683,other,0.0,266.94962
DB00684,other,0.0,121.90133
DB00685,test,0.0,154.09528
DB00686,train,99.0,67.552185
DB00687,train,163.0,194.3695
DB00688,train,276.0,144.49426
DB00689,other,0.0,-138.81128
DB00690,other,0.0,245.55255
DB00691,train,309.0,321.1878
DB00692,train,164.0,192.33916
DB00694,other,0.0,159.00288
DB00695,train,309.0,184.91772
DB00696,train,342.0,193.42287
DB00697,train,376.0,313.18134
DB00698,test,0.0,177.36517
DB00699,train,186.0,125.80321
DB00700,test,0.0,164.16524
DB00701,other,0.0,268.01483
DB00703,train,179.0,180.40073
DB00704,test,0.0,204.62654
DB00705,train,484.0,391.16583
DB00706,train,247.0,205.38333
DB00708,train,399.0,311.91235
DB00709,train,12.0,143.95041
DB00710,test,0.0,100.50043
DB00711,other,0.0,77.16275
DB00712,test,0.0,171.70786
DB00713,train,20.0,5.874069
DB00714,other,0.0,308.75922
DB00715,train,413.0,302.9303
DB00717,test,0.0,214.99698
DB00718,train,2.0,81.056274
DB00719,train,9.0,-22.583954
DB00720,other,0.0,38.66327
DB00721,train,189.0,231.25967
DB00722,other,0.0,206.57837
DB00723,train,62.0,70.60614
DB00724,other,0.0,147.35739
DB00726,train,398.0,278.64783
DB00727,train,141.0,209.89668
DB00728,test,0.0,40.611282
DB00730,train,22.0,163.21591
DB00731,train,209.0,200.09578
DB00732,other,0.0,103.92877
DB00734,train,412.0,211.78702
DB00735,other,0.0,-373.51398
DB00736,train,175.0,173.34793
DB00737,test,0.0,128.02347
DB00738,train,258.0,202.01367
DB00740,train,24.0,156.51767
DB00741,train,216.0,194.388
DB00742,other,0.0,116.18021
DB00743,train,108.0,147.402
DB00744,other,0.0,185.38678
DB00745,test,0.0,227.83194
DB00746,other,0.0,168.15529
DB00747,train,257.0,267.98102
DB00748,train,280.0,334.12115
DB00749,other,0.0,164.12653
DB00750,other,0.0,185.44879
DB00751,test,0.0,232.54306
DB00752,test,0.0,347.35834
DB00753,train,329.0,326.33777
DB00754,train,193.0,194.61906
DB00755,train,233.0,228.20908
DB00757,train,195.0,233.86494
DB00758,other,0.0,209.30986
DB00759,train,68.0,190.89041
DB00760,train,2.0,159.10567
DB00761,train,30.0,-5.106537
DB00762,other,0.0,162.62396
DB00763,other,0.0,228.16545
DB00764,train,140.0,161.52643
DB00765,train,286.0,194.80095
DB00766,train,1.0,65.87842
DB00768,train,437.0,252.2613
DB00769,train,2.0,16.473328
DB00770,train,85.0,157.74991
DB00771,other,0.0,24.849915
DB00772,train,120.0,203.8037
DB00773,test,0.0,190.04561
DB00774,train,363.0,234.03877
DB00775,test,0.0,1.3393555
DB00776,train,39.0,176.1852
DB00778,train,68.0,169.08891
DB00779,other,0.0,197.6591
DB00780,train,315.0,198.20087
DB00781,train,12.0,20.399826
DB00782,train,78.0,161.12328
DB00783,train,220.0,186.04272
DB00784,train,251.0,187.1436
DB00787,test,0.0,153.76215
DB00788,train,261.0,220.19751
DB00790,train,284.0,231.06415
DB00791,train,7.0,5.275528
DB00792,train,8.0,78.16969
DB00793,train,47.0,135.70749
DB00794,train,630.0,303.93597
DB00795,train,205.0,148.5508
DB00796,train,273.0,262.19153
DB00797,train,164.0,161.6443
DB00798,train,100.0,124.24765
DB00799,other,0.0,94.659454
DB00800,test,0.0,189.52003
DB00801,test,0.0,100.109924
DB00802,train,344.0,311.18738
DB00803,train,1.0,-7.9157104
DB00804,other,0.0,157.26599
DB00805,train,315.0,278.55237
DB00806,other,0.0,246.95325
DB00807,other,0.0,166.8017
DB00808,train,431.0,212.47186
DB00809,train,78.0,124.57479
DB00810,train,92.0,163.74805
DB00811,train,8.0,141.7949
DB00812,other,0.0,161.49696
DB00813,train,365.0,353.06943
DB00814,train,281.0,174.43922
DB00816,train,85.0,107.91325
DB00817,test,0.0,-157.8081
DB00818,test,0.0,295.5972
DB00819,train,61.0,176.63562
DB00820,other,0.0,254.15347
DB00821,train,201.0,141.70192
DB00822,train,68.0,192.68085
DB00823,train,68.0,153.95483
DB00826,train,48.0,121.989624
DB00827,train,141.0,103.11882
DB00828,train,1.0,112.85993
DB00829,train,292.0,267.23572
DB00830,train,28.0,1.5576172
DB00831,other,0.0,180.45659
DB00832,train,3.0,27.144836
DB00833,test,0.0,94.78702
DB00834,train,513.0,251.5936
DB00835,train,291.0,227.61661
DB00836,train,112.0,191.38332
DB00837,train,4.0,78.383606
DB00838,train,139.0,137.77203
DB00839,train,158.0,175.66759
DB00841,test,0.0,176.2761
DB00842,train,235.0,236.43445
DB00843,train,207.0,192.34412
DB00844,train,266.0,207.94415
DB00845,train,78.0,149.03983
DB00846,test,0.0,158.24286
DB00847,train,21.0,54.649902
DB00849,train,355.0,354.79553
DB00850,train,338.0,267.914
DB00851,train,35.0,143.24048
DB00852,test,0.0,241.02448
DB00853,train,17.0,84.21569
DB00854,train,266.0,380.9389
DB00855,train,7.0,-17.823212
DB00856,train,2.0,86.98003
DB00857,other,0.0,190.72859
DB00859,train,12.0,141.59305
DB00860,train,213.0,188.77643
DB00861,other,0.0,146.27658
DB00862,test,0.0,385.68634
DB00863,train,129.0,198.73015
DB00864,train,292.0,200.4185
DB00865,train,232.0,205.88524
DB00866,train,283.0,281.58447
DB00867,train,85.0,107.98755
DB00869,train,182.0,248.68108
DB00870,train,244.0,162.84868
DB00871,other,0.0,212.0608
DB00872,train,467.0,274.1941
DB00873,train,139.0,85.4365
DB00875,train,298.0,328.5272
DB00876,train,219.0,180.82962
DB00877,train,169.0,175.47614
DB00879,train,4.0,25.909348
DB00880,train,363.0,211.67267
DB00881,train,279.0,184.36601
DB00882,train,19.0,136.63176
DB00883,train,179.0,241.06961
DB00884,train,146.0,123.66109
DB00885,train,7.0,-0.22375488
DB00887,other,0.0,167.76562
DB00888,train,14.0,14.630951
DB00889,test,0.0,175.99573
DB00890,train,127.0,118.37384
DB00891,train,1.0,65.17037
DB00892,other,0.0,37.78723
DB00894,train,7.0,-46.46576
DB00896,train,139.0,135.89667
DB00897,train,266.0,146.362
DB00898,test,0.0,216.48668
DB00899,test,0.0,216.38654
DB00900,test,0.0,117.34553
DB00903,train,308.0,202.66722
DB00904,other,0.0,248.75534
DB00905,train,149.0,161.20523
DB00906,other,0.0,80.57348
DB00907,train,331.0,372.192
DB00908,train,412.0,280.8518
DB00909,train,235.0,356.0492
DB00910,train,79.0,41.92267
DB00911,train,54.0,136.31573
DB00912,test,0.0,311.48236
DB00914,train,118.0,106.87285
DB00915,train,82.0,222.76645
DB00916,train,137.0,187.16895
DB00917,train,71.0,134.19258
DB00918,other,0.0,233.69113
DB00919,train,100.0,126.547806
DB00920,other,0.0,206.82907
DB00921,train,374.0,414.43292
DB00922,test,0.0,110.15036
DB00923,train,3.0,-10.851685
DB00924,test,0.0,514.64
DB00925,train,209.0,218.10614
DB00927,train,97.0,148.72409
DB00928,other,0.0,197.62799
DB00929,other,0.0,127.80072
DB00931,train,1.0,-0.06593323
DB00932,train,316.0,274.20245
DB00933,train,277.0,228.71725
DB00934,test,0.0,217.36253
DB00935,train,66.0,151.06699
DB00936,train,317.0,209.93869
DB00937,train,135.0,165.42809
DB00938,test,0.0,189.89694
DB00939,train,201.0,151.51651
DB00940,train,97.0,142.8166
DB00943,train,109.0,148.08612
DB00944,train,88.0,115.662415
DB00945,other,0.0,191.80591
DB00946,train,307.0,99.492035
DB00947,test,0.0,141.74506
DB00948,train,20.0,-15.111664
DB00949,train,276.0,321.50995
DB00950,train,220.0,207.18085
DB00951,train,287.0,265.15924
DB00952,test,0.0,99.56605
DB00953,other,0.0,203.59494
DB00954,train,1.0,75.949196
DB00955,test,0.0,129.10689
DB00956,test,0.0,411.63083
DB00957,test,0.0,53.051735
DB00958,train,36.0,36.608383
DB00959,train,211.0,189.17924
DB00960,test,0.0,205.41603
DB00961,train,207.0,188.53558
DB00962,other,0.0,243.31197
DB00963,test,0.0,132.34015
DB00964,train,149.0,255.05557
DB00966,train,235.0,232.56305
DB00967,train,265.0,171.76363
DB00968,train,187.0,206.5321
DB00969,test,0.0,186.47101
DB00970,train,33.0,152.91765
DB00972,train,515.0,330.38593
DB00973,train,24.0,123.462105
DB00974,train,99.0,147.49683
DB00975,test,0.0,209.6807
DB00976,test,0.0,210.8043
DB00977,train,178.0,186.36069
DB00978,other,0.0,163.53195
DB00979,test,0.0,15.777679
DB00980,train,257.0,317.07367
DB00981,train,88.0,151.28522
DB00982,train,15.0,120.129745
DB00983,train,176.0,190.21036
DB00985,train,196.0,175.47089
DB00986,train,84.0,183.91582
DB00987,train,69.0,137.25107
DB00988,train,125.0,174.06743
DB00989,train,124.0,155.8693
DB00990,train,69.0,110.00767
DB00991,train,244.0,178.12726
DB00992,other,0.0,80.906075
DB00993,train,33.0,163.05846
DB00996,other,0.0,201.12375
DB00997,train,344.0,243.14084
DB00998,test,0.0,-116.12381
DB00999,other,0.0,174.13118
DB01000,train,20.0,-22.834717
DB01001,train,114.0,183.80328
DB01002,train,333.0,224.27588
DB01004,train,9.0,177.87996
DB01005,train,16.0,167.68227
DB01006,train,62.0,159.5039
DB01007,train,63.0,158.3639
DB01008,train,93.0,178.40622
DB01009,train,244.0,193.10866
DB01010,train,91.0,41.543
DB01011,train,19.0,192.04037
DB01012,other,0.0,107.296875
DB01013,train,139.0,159.51843
DB01014,test,0.0,155.48181
DB01015,train,289.0,203.20175
DB01016,train,250.0,211.59546
DB01017,test,0.0,180.25633
DB01018,train,404.0,215.50275
DB01019,train,34.0,89.06043
DB01020,train,179.0,296.40765
DB01021,train,309.0,199.05116
DB01022,train,4.0,34.918762
DB01023,train,331.0,243.76337
DB01024,train,258.0,138.73756
DB01026,test,0.0,173.6023
DB01028,train,283.0,367.2533
DB01029,train,364.0,236.4071
DB01030,train,181.0,146.93433
DB01032,other,0.0,176.37677
DB01033,train,22.0,135.27615
DB01034,train,47.0,21.637909
DB01035,test,0.0,226.73665
DB01036,train,213.0,204.27351
DB01037,train,403.0,230.36116
DB01039,train,73.0,164.72806
DB01041,train,366.0,227.17685
DB01042,train,16.0,147.42487
DB01043,test,0.0,342.16846
DB01044,train,143.0,153.3023
DB01045,test,0.0,231.02347
DB01046,train,50.0,-30.755646
DB01047,test,0.0,146.96387
DB01048,train,36.0,90.39221
DB01050,test,0.0,211.17747
DB01051,train,3.0,115.71422
DB01053,train,22.0,155.56415
DB01054,train,268.0,225.05446
DB01057,other,0.0,92.177246
DB01058,other,0.0,149.67032
DB01059,train,197.0,167.77557
DB01060,train,51.0,216.88144
DB01061,test,0.0,123.76973
DB01062,train,144.0,192.32404
DB01063,other,0.0,-17.975647
DB01064,train,92.0,162.48256
DB01065,other,0.0,281.4493
DB01066,test,0.0,-2.4044495
DB01067,train,220.0,206.17424
DB01068,train,237.0,203.60596
DB01069,train,331.0,259.21616
DB01070,train,26.0,-20.901276
DB01071,test,0.0,260.1913
DB01072,train,467.0,435.7256
DB01073,train,15.0,111.80006
DB01074,train,141.0,204.56735
DB01075,train,357.0,202.28767
DB01076,other,0.0,211.25372
DB01077,train,81.0,127.317276
DB01078,train,238.0,144.2226
DB01080,other,0.0,189.81055
DB01081,train,265.0,160.75848
DB01082,train,101.0,147.51733
DB01083,train,53.0,146.22237
DB01084,train,7.0,75.323456
DB01085,train,102.0,145.41113
DB01086,train,205.0,227.97073
DB01087,other,0.0,223.8681
DB01088,train,230.0,230.35576
DB01089,train,99.0,99.04187
DB01090,train,168.0,163.11534
DB01091,train,47.0,129.76654
DB01092,test,0.0,17.015778
DB01093,train,17.0,164.29787
DB01094,train,20.0,76.97873
DB01095,train,341.0,227.79544
DB01096,train,2.0,77.666885
DB01097,train,396.0,187.30176
DB01098,train,276.0,183.16989
DB01099,train,50.0,160.72647
DB01100,other,0.0,284.35538
DB01101,other,0.0,257.38373
DB01102,train,59.0,74.456604
DB01103,train,85.0,158.16335
DB01104,test,0.0,294.2566
DB01105,other,0.0,165.2543
DB01106,train,196.0,120.947815
DB01107,train,45.0,96.900085
DB01108,train,7.0,51.05806
DB01110,train,128.0,179.60638
DB01111,train,26.0,-7.9157104
DB01112,train,19.0,12.6067505
DB01113,train,128.0,214.16296
DB01114,train,261.0,225.82147
DB01115,test,0.0,261.06613
DB01116,train,168.0,274.05963
DB01117,train,19.0,110.45504
DB01118,train,599.0,281.5111
DB01119,train,125.0,177.5777
DB01120,train,200.0,373.383
DB01121,train,3.0,204.59758
DB01122,train,88.0,58.257812
DB01124,train,302.0,397.65533
DB01126,test,0.0,229.09366
DB01127,test,0.0,155.73654
DB01128,train,77.0,134.88264
DB01129,train,175.0,181.77579
DB01130,test,0.0,164.39899
DB01131,train,109.0,101.953445
